Player,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos,3P%,2P%,FT%,FG%,eFG%,Component 1,Component 2,Dimension 1,Dimension 2
Allonzo Trier\trieral01,0.15901302261823166,0.3550376970527759,0.03564084989718986,0.09047292666209733,0.12337217272104181,0.26456477039067855,0.12268677176148046,0.15284441398217957,0.021247429746401644,0.113776559287183,0.13502398903358465,0.08156271418779987,0.019191226867717615,0.009595613433858808,0.07950651130911583,0.08019191226867718,0.47635366689513364,SG,0.3939393939393939,0.46632124352331605,0.8026905829596412,0.44787644787644787,0.8879310344827587,0.35507995115058716,-0.5256710484756583,-1.8845884,-8.037593
Amile Jefferson\jeffeam01,0.14705882352941177,0.23529411764705882,0.0,0.0,0.14705882352941177,0.23529411764705882,0.10294117647058823,0.11764705882352941,0.08823529411764706,0.22058823529411764,0.3088235294117647,0.04411764705882353,0.04411764705882353,0.04411764705882353,0.014705882352941176,0.11764705882352941,0.39705882352941174,PF,0.0,0.625,0.875,0.625,1.0,0.978697297926306,1.5167095600621145,-15.269093,3.5138931
Amir Johnson\johnsam01,0.14933837429111532,0.29678638941398866,0.022684310018903593,0.07561436672967864,0.1266540642722117,0.22117202268431002,0.05860113421550094,0.07750472589792061,0.0888468809073724,0.1890359168241966,0.277882797731569,0.11342155009451796,0.030245746691871456,0.024574669187145556,0.08506616257088846,0.18714555765595464,0.3799621928166352,C,0.3,0.5726495726495726,0.7560975609756098,0.5031847133757962,0.9240506329113924,0.54493775613605,0.7982996992990097,-7.1256294,7.505362
Andre Drummond\drumman01,0.21193804306762373,0.39743105402342277,0.0018889308651303363,0.014355874574990555,0.2100491122024934,0.38307517944843217,0.09180204004533433,0.1556479032867397,0.15980355119002645,0.3056290139780884,0.4654325651681148,0.04231205137891953,0.05137891953154514,0.05213449187759728,0.06611258027956177,0.10275783906309029,0.5175670570457122,C,0.13157894736842105,0.5483234714003945,0.5898058252427184,0.5332699619771863,0.9955436720142602,1.8210825088320695,1.4619993232441817,-16.455173,-2.4104118
Andre Iguodala\iguodan01,0.09569074778200254,0.19138149556400508,0.030418250950570342,0.09125475285171103,0.06527249683143219,0.10012674271229405,0.024714828897338403,0.042458808618504436,0.030418250950570342,0.12927756653992395,0.1596958174904943,0.13688212927756654,0.038656527249683145,0.03231939163498099,0.032953105196451206,0.060202788339670466,0.24651457541191382,SF,0.3333333333333333,0.6518987341772152,0.582089552238806,0.5,0.8410596026490066,-0.6048575644752558,0.5321793236466468,5.676833,8.950056
Andre Ingram\ingraan01,0.0,0.4,0.0,0.2,0.0,0.2,0.0,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,SG,0.0,0.0,0.0,0.0,0.0,-2.736104732544089,1.1496675035925101,15.006192,13.987481
Andrew Bogut\bogutan01,0.13432835820895522,0.26865671641791045,0.0,0.0,0.13432835820895522,0.26865671641791045,0.022388059701492536,0.022388059701492536,0.08955223880597014,0.3208955223880597,0.41044776119402987,0.08208955223880597,0.022388059701492536,0.05970149253731343,0.05970149253731343,0.16417910447761194,0.291044776119403,C,0.0,0.5,1.0,0.5,1.0,0.7510510885486575,2.1426227072113004,-18.632404,3.663468
Andrew Harrison\harrian01,0.0855614973262032,0.28342245989304815,0.026737967914438502,0.13368983957219252,0.058823529411764705,0.1497326203208556,0.09090909090909091,0.0962566844919786,0.03208556149732621,0.0748663101604278,0.10695187165775401,0.12834224598930483,0.0213903743315508,0.0106951871657754,0.06417112299465241,0.18181818181818182,0.2887700534759358,PG,0.2,0.39285714285714285,0.9444444444444444,0.3018867924528302,0.84375,-0.5411332138107884,0.28192560361824315,2.7275517,15.309104
Andrew Wiggins\wiggian01,0.19583169484860402,0.47542272906016514,0.04640188753440818,0.1368462445930004,0.14942980731419583,0.33857648446716476,0.081399921352733,0.1163979551710578,0.032638615808100666,0.10578057412504915,0.13841918993314983,0.07235548564687377,0.027526543452615022,0.018875344081793158,0.05426661423515533,0.06016515926071569,0.5194651985843491,SF,0.3390804597701149,0.4413472706155633,0.6993243243243243,0.4119106699751861,0.8815261044176707,0.3551326936937993,-0.7219091615413811,2.4715035,-12.012077
Anfernee Simons\simonan01,0.19858156028368795,0.44680851063829785,0.07092198581560284,0.20567375886524822,0.1276595744680851,0.24113475177304963,0.06382978723404255,0.11347517730496454,0.02127659574468085,0.07092198581560284,0.09219858156028368,0.09219858156028368,0.0070921985815602835,0.0,0.07801418439716312,0.06382978723404255,0.5319148936170213,SG,0.3448275862068966,0.5294117647058824,0.5625,0.4444444444444444,0.8214285714285714,0.015194788087464065,-1.2088428268263618,4.1808753,-10.428483
Ante Žižić\zizican01,0.16913123844731978,0.30591497227356745,0.0,0.0,0.16913123844731978,0.30591497227356745,0.08595194085027727,0.12199630314232902,0.09981515711645102,0.19593345656192238,0.2957486136783734,0.048983364140480594,0.012014787430683918,0.02033271719038817,0.056377079482439925,0.1044362292051756,0.4242144177449168,C,0.0,0.552870090634441,0.7045454545454546,0.552870090634441,1.0,1.0133569099971178,1.208668750235753,-13.983603,3.0761948
Anthony Davis\davisan02,0.2864864864864865,0.5545945945945946,0.025945945945945945,0.07837837837837838,0.26054054054054054,0.47621621621621624,0.18594594594594593,0.23405405405405405,0.09405405405405405,0.2691891891891892,0.36324324324324325,0.11783783783783784,0.04756756756756757,0.07297297297297298,0.06054054054054054,0.07135135135135136,0.7848648648648648,C,0.3310344827586207,0.547105561861521,0.7944572748267898,0.5165692007797271,0.9547169811320755,2.5541330120271986,-0.3839555624171147,-13.550508,-7.6879373
Anthony Tolliver\tollian01,0.0917516218721038,0.24003707136237257,0.07506950880444857,0.19925857275254866,0.016682113067655237,0.04077849860982391,0.04355885078776645,0.05560704355885079,0.013901760889712697,0.15013901760889714,0.16404077849860982,0.042632066728452274,0.015755329008341055,0.019462465245597776,0.033364226135310475,0.08433734939759036,0.30213160333642264,PF,0.3767441860465116,0.4090909090909091,0.7833333333333333,0.38223938223938225,0.5909090909090909,-1.2856469672288449,-0.07345515650582167,14.33832,5.2968636
Antonio Blakeney\blakean01,0.20024125452352232,0.4776839565741858,0.04342581423401689,0.1097708082026538,0.15681544028950542,0.36791314837153194,0.06031363088057901,0.09167671893848009,0.008443908323281062,0.11942098914354644,0.1278648974668275,0.05066344993968637,0.014475271411338963,0.010856453558504222,0.04221954161640531,0.04945717732207479,0.5042219541616405,SG,0.3956043956043956,0.4262295081967213,0.6578947368421053,0.41919191919191917,0.891566265060241,0.22741961036366157,-0.7387116584357056,2.7927532,-11.715055
Aron Baynes\baynear01,0.1278928136419001,0.27161997563946405,0.025578562728380026,0.07429963459196103,0.1023142509135201,0.19732034104750304,0.06455542021924482,0.07551766138855055,0.1071863580998782,0.1851400730816078,0.292326431181486,0.06942752740560293,0.014616321559074299,0.04141291108404385,0.048721071863580996,0.15225334957369063,0.3459196102314251,C,0.3442622950819672,0.5185185185185185,0.8548387096774194,0.47085201793721976,0.9,0.24373498337678556,0.9713627509037723,-5.688993,7.763279
Austin Rivers\riverau01,0.11439842209072978,0.28205128205128205,0.05128205128205128,0.16124260355029585,0.0631163708086785,0.1208086785009862,0.02465483234714004,0.04684418145956608,0.01232741617357002,0.0675542406311637,0.07988165680473373,0.08234714003944774,0.023175542406311637,0.011341222879684419,0.03353057199211045,0.10207100591715976,0.3047337278106509,SG,0.3180428134556575,0.5224489795918368,0.5263157894736842,0.40559440559440557,0.7758620689655172,-0.9517086061518525,-0.06228575477501912,7.004017,6.594604
Avery Bradley\bradlav01,0.13018372703412073,0.31916010498687664,0.04514435695538058,0.12860892388451445,0.08503937007874016,0.19055118110236222,0.02257217847769029,0.026246719160104987,0.02257217847769029,0.06929133858267716,0.09186351706036745,0.07979002624671916,0.02152230971128609,0.008398950131233596,0.046719160104986876,0.08766404199475065,0.32808398950131235,SG,0.3510204081632653,0.4462809917355372,0.86,0.40789473684210525,0.8266129032258065,-0.7300118738335735,-0.23287998832097706,8.704161,0.58864886
B.J. Johnson\johnsbj01,0.1836734693877551,0.3673469387755102,0.061224489795918366,0.14285714285714285,0.12244897959183673,0.22448979591836735,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.12244897959183673,0.16326530612244897,0.0,0.04081632653061224,0.0,0.04081632653061224,0.08163265306122448,0.46938775510204084,SF,0.42857142857142855,0.5454545454545454,1.0,0.5,0.8333333333333334,-0.12900459332109207,-0.5718506514512293,12.023511,-5.0955267
Bam Adebayo\adebaba01,0.14636696288552012,0.25405122843700995,0.0015682174594877157,0.007841087297438577,0.1447987454260324,0.24621014113957135,0.08677469942498693,0.11813904861474124,0.08625196027182436,0.22582331416623105,0.3120752744380554,0.09618400418191322,0.037114479874542604,0.03397804495556717,0.06325143753267119,0.10611604809200209,0.3810768426555149,C,0.2,0.5881104033970276,0.7345132743362832,0.5761316872427984,0.9946428571428572,0.8990126609408415,1.151068422588319,-13.895856,1.9059602
Ben McLemore\mclembe01,0.15822784810126583,0.4050632911392405,0.10759493670886076,0.25949367088607594,0.05063291139240506,0.14556962025316456,0.05063291139240506,0.0759493670886076,0.0189873417721519,0.08860759493670886,0.10759493670886076,0.02531645569620253,0.0379746835443038,0.0189873417721519,0.03164556962025317,0.13924050632911392,0.47468354430379744,SG,0.4146341463414634,0.34782608695652173,0.6666666666666666,0.390625,0.66,-0.8496928099368719,-0.9037694537395703,16.61893,1.7218059
Ben Simmons\simmobe01,0.2,0.35555555555555557,0.0,0.0022222222222222222,0.2,0.35333333333333333,0.09518518518518519,0.15851851851851853,0.0637037037037037,0.19444444444444445,0.2581481481481481,0.22592592592592592,0.04148148148148148,0.02259259259259259,0.10148148148148148,0.07740740740740741,0.4951851851851852,PG,0.0,0.5660377358490566,0.6004672897196262,0.5625,1.0,1.4690876221518248,0.474321059879277,-11.051877,2.4891636
Billy Garrett\garrebi01,0.1746031746031746,0.42857142857142855,0.0,0.12698412698412698,0.1746031746031746,0.30158730158730157,0.06349206349206349,0.06349206349206349,0.0,0.047619047619047616,0.047619047619047616,0.1111111111111111,0.015873015873015872,0.015873015873015872,0.031746031746031744,0.047619047619047616,0.4126984126984127,SG,0.0,0.5789473684210527,1.0,0.4074074074074074,1.0,0.21750287639169005,-0.29131771749093793,-4.6620674,-4.4526362
